feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus	Location	Urban	-1.02672745882566	0.17262486253422	114	79	2.02643538247039e-07	9.11895922111677e-05
Streptococcus	EntColi	TRUE	-0.796456064196133	0.186254151326323	114	99	4.14707805179166e-05	0.00933092561653123
Collinsella	AgeC	AgeC	0.216666205927606	0.0512138366189836	114	64	8.13339072677822e-05	0.0122000860901673
Butyrivibrio	Location	Urban	0.838897470928551	0.214913094247272	114	58	0.000244778186245433	0.0275375459526112
Escherichia.Shigella	AgeC	AgeC	-0.965904570491421	0.250510425150577	114	112	0.000328005274632162	0.0295204747168946
Mitsuokella	AgeC	AgeC	0.236852649171337	0.0656569814723275	114	61	0.000628244169059746	0.047118312679481
Bifidobacterium	AgeC	AgeC	0.206528830991376	0.0586497792621245	114	113	0.000846823069121308	0.0519722027523086
Lachnospiraceae_UCG.001	AgeC	AgeC	0.187919573770123	0.0540387931275667	114	57	0.000923950271152153	0.0519722027523086
Senegalimassilia	AgeC	AgeC	0.11615973825783	0.0341318481807569	114	47	0.00124385820563896	0.0621929102819481
Alistipes	AgeC	AgeC	0.25091575415094	0.0763623758282193	114	101	0.00168967479737912	0.063469102240768
Anaerovibrio	Location	Urban	-0.502716678119199	0.152688947767402	114	31	0.00169250939308715	0.063469102240768
Succinivibrio	AgeC	AgeC	0.198745827271894	0.0606109226722004	114	52	0.00164622475470428	0.063469102240768
Oscillospira	Location	Urban	0.162455544506852	0.0499859494697872	114	18	0.00194607885150865	0.0647676652371287
Enterobacter	Location	Urban	0.404005360902004	0.127704082969266	114	47	0.00201499402959956	0.0647676652371287
Lachnospira	Location	Urban	0.442823841934092	0.138860930482726	114	90	0.00230331763076905	0.0690995289230716
Izemoplasmatales	Location	Urban	0.580875806191473	0.195165507513351	114	79	0.00358779243468963	0.0896948108672408
Enterococcus	EntColi	TRUE	-0.573997864060564	0.190833087086914	114	79	0.00327400475478319	0.0896948108672408
RF39	EntColi	TRUE	0.579934233906112	0.194081806662048	114	83	0.00346837626921915	0.0896948108672408
Enterococcus	AgeC	AgeC	-0.902919122488899	0.296505329388063	114	79	0.00388749379191112	0.0920722213873687
Slackia	AgeC	AgeC	0.0851821792407275	0.0289501265503389	114	15	0.00500984857649249	0.0946324291430589
Lactococcus	Location	Urban	-0.30380735340837	0.105177832662665	114	28	0.00466294957693691	0.0946324291430589
X.Eubacterium._ventriosum_group	AgeC	AgeC	0.803400501590019	0.26743847464061	114	93	0.0047097128784648	0.0946324291430589
Lachnospiraceae_NK4A136_group	AgeC	AgeC	0.167292074809954	0.0563787442269342	114	101	0.00425878980515492	0.0946324291430589
TM7x	AgeC	AgeC	0.0592644197671938	0.0207087402360519	114	11	0.00504706288762981	0.0946324291430589
Peptoniphilus	AgeC	AgeC	0.0932941628224708	0.0327786017661366	114	13	0.00527938851427233	0.0950289932569019
Peptococcus	AgeC	AgeC	0.140805058051803	0.0495681532134798	114	94	0.00607186541681096	0.105089978367882
Defluviitaleaceae_UCG.011	EntColi	TRUE	0.361247526650723	0.132409203207086	114	100	0.00742258937426027	0.12291415887837
UCG.008	Location	Urban	0.139590629152931	0.0505488328040589	114	14	0.00764799210798748	0.12291415887837
Christensenellaceae_R.7_group	EntColi	TRUE	0.453782783108273	0.170435774189836	114	108	0.0089425854822939	0.138280125886776
vadinBE97	EntColi	TRUE	0.534656409856521	0.200709337757971	114	78	0.00921867505911837	0.138280125886776
Izemoplasmatales	EntColi	TRUE	0.616970386133333	0.240833941957508	114	79	0.0117661589599561	0.1444461223952
Lactobacillus	AgeC	AgeC	0.113262029280082	0.0430917467810393	114	24	0.010986574560305	0.1444461223952
X.Eubacterium._eligens_group	Location	Urban	0.322410849596683	0.123265007191289	114	85	0.0101575561944964	0.1444461223952
